"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Enterprise size","Same product line as highest selling product","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Canada","2016A000011124","All surveyed industries","Total enterprises","Most innovative product in same product line as highest selling product","Percent","239","units ","0","v86824058","1.1.1.1","48.2","B","","","1"
"2009","Canada","2016A000011124","All surveyed industries","Small enterprises (20 to 99 employees)","Most innovative product in same product line as highest selling product","Percent","239","units ","0","v86824059","1.1.2.1","48.6","E","","","1"
"2009","Canada","2016A000011124","All surveyed industries","Medium-sized enterprises (100 to 249 employees)","Most innovative product in same product line as highest selling product","Percent","239","units ","0","v86824060","1.1.3.1","48.7","E","","","1"
"2009","Canada","2016A000011124","All surveyed industries","Large enterprises (250 and more employees)","Most innovative product in same product line as highest selling product","Percent","239","units ","0","v86824061","1.1.4.1","","F","","","1"
"2009","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Total enterprises","Most innovative product in same product line as highest selling product","Percent","239","units ","0","v86824062","1.2.1.1","","x","","","1"
"2009","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Small enterprises (20 to 99 employees)","Most innovative product in same product line as highest selling product","Percent","239","units ","0","v86824063","1.2.2.1","","x","","","1"
"2009","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Medium-sized enterprises (100 to 249 employees)","Most innovative product in same product line as highest selling product","Percent","239","units ","0","v86824064","1.2.3.1","","..","","","1"
"2009","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Large enterprises (250 and more employees)","Most innovative product in same product line as highest selling product","Percent","239","units ","0","v86824065","1.2.4.1","","x","","","1"
"2009","Canada","2016A000011124","Mining, quarrying, and oil and gas extraction [21]","Total enterprises","Most innovative product in same product line as highest selling product","Percent","239","units ","0","v86824066","1.3.1.1","64.9","E","","","1"
"2009","Canada","2016A000011124","Mining, quarrying, and oil and gas extraction [21]","Small enterprises (20 to 99 employees)","Most innovative product in same product line as highest selling product","Percent","239","units ","0","v86824067","1.3.2.1","60.5","E","","","1"
"2009","Canada","2016A000011124","Mining, quarrying, and oil and gas extraction [21]","Medium-sized enterprises (100 to 249 employees)","Most innovative product in same product line as highest selling product","Percent","239","units ","0","v86824068","1.3.3.1","","x","","","1"
"2009","Canada","2016A000011124","Mining, quarrying, and oil and gas extraction [21]","Large enterprises (250 and more employees)","Most innovative product in same product line as highest selling product","Percent","239","units ","0","v86824069","1.3.4.1","","x","","","1"
"2009","Canada","2016A000011124","Oil and gas extraction [211]","Total enterprises","Most innovative product in same product line as highest selling product","Percent","239","units ","0","v86824070","1.4.1.1","","x","","","1"
"2009","Canada","2016A000011124","Oil and gas extraction [211]","Small enterprises (20 to 99 employees)","Most innovative product in same product line as highest selling product","Percent","239","units ","0","v86824071","1.4.2.1","","x","","","1"
"2009","Canada","2016A000011124","Oil and gas extraction [211]","Medium-sized enterprises (100 to 249 employees)","Most innovative product in same product line as highest selling product","Percent","239","units ","0","v86824072","1.4.3.1","","x","","","1"
"2009","Canada","2016A000011124","Oil and gas extraction [211]","Large enterprises (250 and more employees)","Most innovative product in same product line as highest selling product","Percent","239","units ","0","v86824073","1.4.4.1","","..","","","1"
"2009","Canada","2016A000011124","Mining and quarrying (except oil and gas) [212]","Total enterprises","Most innovative product in same product line as highest selling product","Percent","239","units ","0","v86824074","1.5.1.1","","F","","","1"
"2009","Canada","2016A000011124","Mining and quarrying (except oil and gas) [212]","Small enterprises (20 to 99 employees)","Most innovative product in same product line as highest selling product","Percent","239","units ","0","v86824075","1.5.2.1","","x","","","1"
"2009","Canada","2016A000011124","Mining and quarrying (except oil and gas) [212]","Medium-sized enterprises (100 to 249 employees)","Most innovative product in same product line as highest selling product","Percent","239","units ","0","v86824076","1.5.3.1","","x","","","1"
"2009","Canada","2016A000011124","Mining and quarrying (except oil and gas) [212]","Large enterprises (250 and more employees)","Most innovative product in same product line as highest selling product","Percent","239","units ","0","v86824077","1.5.4.1","","x","","","1"
"2009","Canada","2016A000011124","Support activities for mining and oil and gas extraction [213]","Total enterprises","Most innovative product in same product line as highest selling product","Percent","239","units ","0","v86824078","1.6.1.1","65.9","E","","","1"
